Years,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,537777811.1,,,,,,,,,,18577668272,6592693841,,195999990,11658722591,226195579.4,330442817.2,4274893913,,,169803921.6,,,28071888.56,84466654.08,373879363.6,15165569913,,,,30412308.99,112155598.9,40461721693,,9522746719,,4110000000,59716467625,546203561.6,618740988,3359404118,131731862.6,4031152977,,,507513830,1880306125,,,,,,,,,,672399700,,80250493642,1.51711E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,548888895.6,,,,,,,,,,19652816665,7311749633,,202999992,12400145222,235668222.4,350247237.1,4817580184,,,190098039.2,,,29964370.71,89249986.7,406684585.7,15236854859,,,,32902336.64,123134584.5,40934952064,,10712712465,,4609727273,50056868958,618245639.2,657597382.8,3086746857,151675739.2,4540447761,,,490325181.6,2038301741,,,,,,,,,,654100200,,70446019997,1.52834E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,546666677.8,,,,,,24450604878,,,,19892485161,7756110210,,213500006,13264015675,236434906.8,379567178.3,5081413340,,,212254902,,,31856922.86,94149985.97,444665186.4,19926293839,,,,35643207.63,124482748.9,42227447632,,11879982759,,5416272727,47209359006,645284344.7,699373701.2,3779841429,166521239.9,4955543963,,,479180824.3,2153895648,,,,,,,,,,824100000,2001468868,64553767695,1.58622E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,751111191.1,,,,,,18272123664,,,,21507447643,8374175258,,232749998,14260017387,253927646.5,394040749.1,5319458351,,,237745098,,,33749405.01,96366652.31,478805990.1,23021477292,,,,38091150.57,129379097.9,45029988561,,13063643796,,5668187500,50706799903,761047045.8,723624365.3,6213185743,172233430.9,4836166667,,,511902136.8,2290313588,,,,,,,,,,940799900,2703014867,69902770699,1.68186E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,800000044.4,,,,,,25605249382,,,,23764139321,9169983886,,260750008,15960106681,269818988.3,410321785.6,5386054619,,,266666666.7,,,36193826.12,107566650.6,539491477.3,21211892260,,,,41613969.05,142025069.5,49377522897,,14480556572,,5982347826,59708343489,921063266.4,782384527.8,2881545273,185693724.8,5973366667,,,542578367.2,2470264540,,,,,,,,,,1025599900,2909351793,81045145100,1.93055E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,1006666638,,,,,,28344705967,,,,25936835032,9994070616,,158994963,17371457608,289908720.6,422916848.4,5906636557,,,300392156.9,,,40069930.07,114339049,604377104.4,21790035117,,114040245.7,,45790869.75,150574816.3,54515179581,,15346741670,,6026593750,70436266147,919771356.4,814139855.8,4043901818,198318063.9,5760761905,,,592981162.3,2660946063,,,,,,,,,,888100000,3136258897,94581254564,2.09372E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,1399999967,,,,,,28630474728,,,,27268451114,10887682273,,165444571.4,18651883472,302925280.8,433889831.6,6439687598,,,340000000,,,44405594.41,134173373.8,669191919.2,27062716578,,132758395.4,,51464435.15,157930041.9,61088384037,,16480058705,,7072641026,76720285970,1024103034,853268771.1,4532660182,220613582.4,5428518519,,,647305630.2,2888647978,,,,,,,,,11931739859,983900000,3039834559,1.0354E+11,2.06449E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,1673333418,,,,,,24256667553,,,,30397580916,11579431669,,178297142.9,19992040788,306222000.4,450753993.2,7253575399,,,390196078.4,,,47379310.34,155102984.6,755808080.8,30591834054,,139030445.6,,58646443.51,163820538.9,65668655501,,17740013179,,7013196078,72881631327,1082922892,934079050.3,3384063372,237397428.3,5825170438,,,699456618.9,3102515476,,,,,,,,,13059064375,1034800000,3370843066,1.00327E+11,2.16938E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,1373333367,,,,25891606124,,26436857247,,,,32665472057,12440625313,,183200000,21376353113,326323097.4,460442864.2,7483685474,,,444901960.8,,,44910179.64,150000000,857912457.9,33875881876,,160819286.6,,66248256.62,191767437,71829810520,,18942729779,,7167086957,70846535056,1281281246,1053077155,3909780539,251247458,5960212869,,,773841494.3,3083590687,,,,,,,,,13505573867,1079100000,3852115817,1.01263E+11,2.34835E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,1408888922,,,,28429146975,,31256284544,,,,36628961810,13582798556,,190205714.3,23710735895,330748211.5,478298781.5,8471006101,,,528137254.9,,,47305389.22,164900000,929629629.6,37458898244,,161211289.7,,77356914.08,188039191.3,79148411662,,20524886616,,8377093023,79705906247,1361360157,1152418515,5032434970,265040036.1,6450175214,,,853630203.8,3359706536,,,,,,,,,15414902267,1230500000,4257218772,1.13708E+11,2.62321E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
